ticket_id,n_events,n_status_changes,reopened_from_log
TCK-000099,3,2,0
TCK-000100,3,2,0
TCK-000101,3,2,0
TCK-000102,3,2,0
TCK-000103,3,2,0
TCK-000104,3,2,0
TCK-000105,3,2,0
TCK-000106,3,2,0
TCK-000107,4,3,1
TCK-000108,4,3,1
TCK-000109,3,2,0
TCK-000110,3,2,0
TCK-000111,3,2,0
TCK-000112,3,2,0
TCK-000113,3,2,0
TCK-000114,3,2,0
TCK-000115,3,2,0
TCK-000116,3,2,0
TCK-000117,3,2,0
TCK-000118,3,2,0
TCK-000119,3,2,0
TCK-000120,3,2,0
TCK-000121,3,2,0
TCK-000122,3,2,0
TCK-000123,3,2,0
TCK-000124,3,2,0
TCK-000125,3,2,0
TCK-000126,3,2,0
TCK-000127,3,2,0
TCK-000128,3,2,0
TCK-000129,3,2,0
TCK-000130,3,2,0
TCK-000131,4,3,1
TCK-000132,3,2,0
TCK-000133,3,2,0
TCK-000134,4,3,1
TCK-000135,3,2,0
TCK-000136,3,2,0
TCK-000137,3,2,0
TCK-000138,3,2,0
TCK-000139,3,2,0
TCK-000140,3,2,0
TCK-000141,3,2,0
TCK-000142,3,2,0
TCK-000143,3,2,0
TCK-000144,3,2,0
TCK-000145,3,2,0
TCK-000146,3,2,0
TCK-000147,3,2,0
TCK-000148,3,2,0
TCK-000149,4,3,1
TCK-000150,3,2,0
TCK-000151,3,2,0
TCK-000152,3,2,0
TCK-000153,3,2,0
TCK-000154,3,2,0
TCK-000155,4,3,1
TCK-000156,3,2,0
TCK-000157,4,3,1
TCK-000158,3,2,0
TCK-000159,3,2,0
TCK-000160,3,2,0
TCK-000161,3,2,0
TCK-000162,3,2,0
TCK-000163,3,2,0
TCK-000164,3,2,0
TCK-000165,3,2,0
TCK-000166,3,2,0
TCK-000167,3,2,0
TCK-000168,3,2,0
TCK-000169,3,2,0
TCK-000170,3,2,0
TCK-000171,3,2,0
TCK-000172,3,2,0
TCK-000173,3,2,0
TCK-000174,3,2,0
TCK-000175,3,2,0
TCK-000176,3,2,0
TCK-000177,3,2,0
TCK-000178,3,2,0
TCK-000179,3,2,0
TCK-000180,3,2,0
TCK-000181,3,2,0
TCK-000182,3,2,0
TCK-000183,3,2,0
TCK-000184,3,2,0
TCK-000185,3,2,0
TCK-000186,3,2,0
TCK-000187,4,3,1
TCK-000188,3,2,0
TCK-000189,3,2,0
TCK-000190,4,3,1
TCK-000191,3,2,0
TCK-000192,3,2,0
TCK-000193,3,2,0
TCK-000194,4,3,1
TCK-000195,4,3,1
TCK-000196,3,2,0
TCK-000197,4,3,1
TCK-000198,3,2,0
TCK-000199,3,2,0
TCK-000200,3,2,0
TCK-000201,3,2,0
TCK-000202,3,2,0
TCK-000203,3,2,0
TCK-000204,3,2,0
TCK-000205,4,3,1
TCK-000206,3,2,0
TCK-000207,3,2,0
TCK-000208,3,2,0
TCK-000209,3,2,0
TCK-000210,3,2,0
TCK-000211,3,2,0
TCK-000212,3,2,0
TCK-000213,3,2,0
TCK-000214,3,2,0
TCK-000215,3,2,0
TCK-000216,3,2,0
TCK-000217,3,2,0
TCK-000218,3,2,0
TCK-000219,3,2,0
TCK-000220,3,2,0
TCK-000221,3,2,0
TCK-000222,3,2,0
TCK-000223,3,2,0
TCK-000224,4,3,1
TCK-000225,3,2,0
TCK-000226,3,2,0
TCK-000227,3,2,0
TCK-000228,4,3,1
TCK-000229,3,2,0
TCK-000230,4,3,1
TCK-000231,3,2,0
TCK-000232,3,2,0
TCK-000233,3,2,0
TCK-000234,3,2,0
TCK-000235,3,2,0
TCK-000236,3,2,0
TCK-000237,3,2,0
TCK-000238,3,2,0
TCK-000239,3,2,0
TCK-000240,3,2,0
TCK-000241,3,2,0
TCK-000242,3,2,0
TCK-000243,4,3,1
TCK-000244,3,2,0
TCK-000245,3,2,0
TCK-000246,3,2,0
TCK-000247,3,2,0
TCK-000248,3,2,0
TCK-000249,3,2,0
TCK-000250,3,2,0
TCK-000251,4,3,1
TCK-000252,3,2,0
TCK-000253,4,3,1
TCK-000254,3,2,0
TCK-000255,3,2,0
TCK-000256,3,2,0
TCK-000257,3,2,0
TCK-000258,3,2,0
TCK-000259,3,2,0
TCK-000260,3,2,0
TCK-000261,3,2,0
TCK-000262,3,2,0
TCK-000263,3,2,0
TCK-000264,3,2,0
TCK-000265,3,2,0
TCK-000266,3,2,0
TCK-000267,3,2,0
TCK-000268,3,2,0
TCK-000269,3,2,0
TCK-000270,3,2,0
TCK-000271,3,2,0
TCK-000272,3,2,0
TCK-000273,3,2,0
TCK-000274,3,2,0
TCK-000275,3,2,0
TCK-000276,3,2,0
TCK-000277,4,3,1
TCK-000278,3,2,0
TCK-000279,3,2,0
TCK-000280,3,2,0
TCK-000281,3,2,0
TCK-000282,3,2,0
TCK-000283,3,2,0
TCK-000284,3,2,0
TCK-000285,3,2,0
TCK-000286,4,3,1
TCK-000287,3,2,0
TCK-000288,3,2,0
TCK-000289,3,2,0
TCK-000290,3,2,0
TCK-000291,3,2,0
TCK-000292,4,3,1
TCK-000293,3,2,0
TCK-000294,3,2,0
TCK-000295,3,2,0
TCK-000296,3,2,0
TCK-000297,3,2,0
TCK-000298,4,3,1
TCK-000299,3,2,0
TCK-000300,3,2,0
TCK-000301,3,2,0
TCK-000302,3,2,0
TCK-000303,3,2,0
TCK-000304,3,2,0
TCK-000305,3,2,0
TCK-000306,3,2,0
TCK-000307,3,2,0
TCK-000308,3,2,0
TCK-000309,3,2,0
TCK-000310,3,2,0
TCK-000311,3,2,0
TCK-000312,4,3,1
TCK-000313,3,2,0
TCK-000314,3,2,0
TCK-000315,3,2,0
TCK-000316,3,2,0
TCK-000317,3,2,0
TCK-000318,3,2,0
TCK-000319,3,2,0
TCK-000320,3,2,0
TCK-000321,3,2,0
TCK-000322,3,2,0
TCK-000323,3,2,0
TCK-000324,3,2,0
TCK-000325,3,2,0
TCK-000326,3,2,0
TCK-000327,3,2,0
TCK-000328,3,2,0
TCK-000329,3,2,0
TCK-000330,3,2,0
TCK-000331,3,2,0
TCK-000332,3,2,0
TCK-000333,3,2,0
TCK-000334,3,2,0
TCK-000335,3,2,0
TCK-000336,3,2,0
TCK-000337,4,3,1
TCK-000338,3,2,0
TCK-000339,3,2,0
TCK-000340,3,2,0
TCK-000341,3,2,0
TCK-000342,3,2,0
TCK-000343,3,2,0
TCK-000344,3,2,0
TCK-000345,3,2,0
TCK-000346,3,2,0
TCK-000347,4,3,1
TCK-000348,4,3,1
TCK-000349,3,2,0
TCK-000350,3,2,0
TCK-000351,3,2,0
TCK-000352,3,2,0
TCK-000353,3,2,0
TCK-000354,3,2,0
TCK-000355,3,2,0
TCK-000356,3,2,0
TCK-000357,3,2,0
TCK-000358,3,2,0
TCK-000359,3,2,0
TCK-000360,3,2,0
TCK-000361,3,2,0
TCK-000362,3,2,0
TCK-000363,3,2,0
TCK-000364,3,2,0
TCK-000365,3,2,0
TCK-000366,3,2,0
TCK-000367,3,2,0
TCK-000368,3,2,0
TCK-000369,3,2,0
TCK-000370,4,3,1
TCK-000371,3,2,0
TCK-000372,3,2,0
TCK-000373,3,2,0
TCK-000374,4,3,1
TCK-000375,4,3,1
TCK-000376,4,3,1
TCK-000377,3,2,0
TCK-000378,3,2,0
TCK-000379,3,2,0
TCK-000380,3,2,0
TCK-000381,3,2,0
TCK-000382,3,2,0
TCK-000383,3,2,0
TCK-000384,4,3,1
TCK-000385,3,2,0
TCK-000386,3,2,0
TCK-000387,3,2,0
TCK-000388,3,2,0
TCK-000389,3,2,0
TCK-000390,3,2,0
TCK-000391,4,3,1
TCK-000392,3,2,0
TCK-000393,3,2,0
TCK-000394,3,2,0
TCK-000395,4,3,1
TCK-000396,3,2,0
TCK-000397,4,3,1
TCK-000398,3,2,0
TCK-000399,3,2,0
TCK-000400,3,2,0
TCK-000401,3,2,0
TCK-000402,3,2,0
TCK-000403,3,2,0
TCK-000404,3,2,0
TCK-000405,4,3,1
TCK-000406,3,2,0
TCK-000407,3,2,0
TCK-000408,3,2,0
TCK-000409,3,2,0
TCK-000410,3,2,0
TCK-000411,3,2,0
TCK-000412,3,2,0
TCK-000413,3,2,0
TCK-000414,3,2,0
TCK-000415,3,2,0
TCK-000416,3,2,0
TCK-000417,3,2,0
TCK-000418,3,2,0
TCK-000419,3,2,0
TCK-000420,3,2,0
TCK-000421,3,2,0
TCK-000422,3,2,0
TCK-000423,3,2,0
TCK-000424,3,2,0
TCK-000425,4,3,1
TCK-000426,4,3,1
TCK-000427,3,2,0
TCK-000428,3,2,0
TCK-000429,3,2,0
TCK-000430,3,2,0
TCK-000431,3,2,0
TCK-000432,3,2,0
TCK-000433,4,3,1
TCK-000434,3,2,0
TCK-000435,3,2,0
TCK-000436,3,2,0
TCK-000437,3,2,0
TCK-000438,3,2,0
TCK-000439,3,2,0
TCK-000440,3,2,0
TCK-000441,3,2,0
TCK-000442,4,3,1
TCK-000443,3,2,0
TCK-000444,3,2,0
TCK-000445,3,2,0
TCK-000446,3,2,0
TCK-000447,3,2,0
TCK-000448,3,2,0
TCK-000449,4,3,1
TCK-000450,3,2,0
TCK-000451,3,2,0
TCK-000452,3,2,0
TCK-000453,3,2,0
TCK-000454,3,2,0
TCK-000455,3,2,0
TCK-000456,3,2,0
TCK-000457,3,2,0
TCK-000458,3,2,0
TCK-000459,3,2,0
TCK-000460,3,2,0
TCK-000461,3,2,0
TCK-000462,3,2,0
TCK-000463,3,2,0
TCK-000464,3,2,0
TCK-000465,3,2,0
TCK-000466,3,2,0
TCK-000467,3,2,0
TCK-000468,3,2,0
TCK-000469,3,2,0
TCK-000470,3,2,0
TCK-000471,3,2,0
TCK-000472,3,2,0
TCK-000473,3,2,0
TCK-000474,3,2,0
TCK-000475,3,2,0
TCK-000476,3,2,0
TCK-000477,3,2,0
TCK-000478,3,2,0
TCK-000479,3,2,0
TCK-000480,3,2,0
TCK-000481,3,2,0
TCK-000482,3,2,0
TCK-000483,3,2,0
TCK-000484,3,2,0
TCK-000485,4,3,1
TCK-000486,3,2,0
TCK-000487,3,2,0
TCK-000488,3,2,0
TCK-000489,3,2,0
TCK-000490,3,2,0
TCK-000491,3,2,0
TCK-000492,3,2,0
TCK-000493,3,2,0
TCK-000494,3,2,0
TCK-000495,3,2,0
TCK-000496,3,2,0
TCK-000497,3,2,0
TCK-000498,4,3,1
TCK-000499,3,2,0
TCK-000500,3,2,0
TCK-000501,3,2,0
TCK-000502,3,2,0
TCK-000503,4,3,1
TCK-000504,3,2,0
TCK-000505,3,2,0
TCK-000506,3,2,0
TCK-000507,3,2,0
TCK-000508,3,2,0
TCK-000509,3,2,0
TCK-000510,4,3,1
TCK-000511,3,2,0
TCK-000512,3,2,0
TCK-000513,3,2,0
TCK-000514,3,2,0
TCK-000515,3,2,0
TCK-000516,3,2,0
TCK-000517,3,2,0
TCK-000518,4,3,1
TCK-000519,3,2,0
TCK-000520,3,2,0
TCK-000521,3,2,0
TCK-000522,3,2,0
TCK-000523,3,2,0
TCK-000524,4,3,1
TCK-000525,3,2,0
TCK-000526,3,2,0
TCK-000527,3,2,0
TCK-000528,3,2,0
TCK-000529,3,2,0
TCK-000530,3,2,0
TCK-000531,3,2,0
TCK-000532,3,2,0
TCK-000533,3,2,0
TCK-000534,3,2,0
TCK-000535,3,2,0
TCK-000536,3,2,0
TCK-000537,4,3,1
TCK-000538,3,2,0
TCK-000539,3,2,0
TCK-000540,4,3,1
TCK-000541,3,2,0
TCK-000542,3,2,0
TCK-000543,4,3,1
TCK-000544,3,2,0
TCK-000545,3,2,0
TCK-000546,3,2,0
TCK-000547,3,2,0
TCK-000548,3,2,0
TCK-000549,4,3,1
TCK-000550,3,2,0
TCK-000551,3,2,0
TCK-000552,3,2,0
TCK-000553,4,3,1
TCK-000554,4,3,1
TCK-000555,3,2,0
TCK-000556,3,2,0
TCK-000557,3,2,0
TCK-000558,3,2,0
TCK-000559,3,2,0
TCK-000560,3,2,0
TCK-000561,3,2,0
TCK-000562,3,2,0
TCK-000563,4,3,1
TCK-000564,3,2,0
TCK-000565,3,2,0
TCK-000566,3,2,0
TCK-000567,3,2,0
TCK-000568,3,2,0
TCK-000569,4,3,1
TCK-000570,3,2,0
TCK-000571,3,2,0
TCK-000572,3,2,0
TCK-000573,3,2,0
TCK-000574,3,2,0
TCK-000575,3,2,0
TCK-000576,3,2,0
TCK-000577,3,2,0
TCK-000578,3,2,0
TCK-000579,4,3,1
TCK-000580,3,2,0
TCK-000581,3,2,0
TCK-000582,3,2,0
TCK-000583,3,2,0
TCK-000584,3,2,0
TCK-000585,3,2,0
TCK-000586,3,2,0
TCK-000587,3,2,0
TCK-000588,3,2,0
TCK-000589,3,2,0
TCK-000590,3,2,0
TCK-000591,4,3,1
TCK-000592,3,2,0
TCK-000593,3,2,0
TCK-000594,3,2,0
TCK-000595,3,2,0
TCK-000596,3,2,0
TCK-000597,3,2,0
TCK-000598,4,3,1
TCK-000599,3,2,0
TCK-000600,3,2,0
TCK-000601,3,2,0
TCK-000602,3,2,0
TCK-000603,3,2,0
TCK-000604,3,2,0
TCK-000605,3,2,0
TCK-000606,3,2,0
TCK-000607,3,2,0
TCK-000608,3,2,0
TCK-000609,3,2,0
TCK-000610,3,2,0
TCK-000611,3,2,0
TCK-000612,3,2,0
TCK-000613,3,2,0
TCK-000614,3,2,0
TCK-000615,4,3,1
TCK-000616,3,2,0
TCK-000617,3,2,0
TCK-000618,3,2,0
TCK-000619,3,2,0
TCK-000620,3,2,0
TCK-000621,3,2,0
TCK-000622,4,3,1
TCK-000623,3,2,0
TCK-000624,3,2,0
TCK-000625,3,2,0
TCK-000626,3,2,0
TCK-000627,3,2,0
TCK-000628,3,2,0
TCK-000629,3,2,0
TCK-000630,3,2,0
TCK-000631,3,2,0
TCK-000632,3,2,0
TCK-000633,3,2,0
TCK-000634,4,3,1
TCK-000635,3,2,0
TCK-000636,4,3,1
TCK-000637,3,2,0
TCK-000638,3,2,0
TCK-000639,3,2,0
TCK-000640,3,2,0
TCK-000641,3,2,0
TCK-000642,3,2,0
TCK-000643,3,2,0
TCK-000644,3,2,0
TCK-000645,3,2,0
TCK-000646,3,2,0
TCK-000647,4,3,1
TCK-000648,3,2,0
TCK-000649,3,2,0
TCK-000650,3,2,0
TCK-000651,3,2,0
TCK-000652,3,2,0
TCK-000653,4,3,1
TCK-000654,3,2,0
TCK-000655,3,2,0
TCK-000656,3,2,0
TCK-000657,4,3,1
TCK-000658,3,2,0
TCK-000659,3,2,0
TCK-000660,3,2,0
TCK-000661,3,2,0
TCK-000662,4,3,1
TCK-000663,3,2,0
TCK-000664,3,2,0
TCK-000665,3,2,0
TCK-000666,3,2,0
TCK-000667,4,3,1
TCK-000668,3,2,0
TCK-000669,4,3,1
TCK-000670,3,2,0
TCK-000671,3,2,0
TCK-000672,3,2,0
TCK-000673,3,2,0
TCK-000674,3,2,0
TCK-000675,3,2,0
TCK-000676,3,2,0
TCK-000677,4,3,1
TCK-000678,3,2,0
TCK-000679,3,2,0
TCK-000680,3,2,0
TCK-000681,3,2,0
TCK-000682,3,2,0
TCK-000683,4,3,1
TCK-000684,3,2,0
TCK-000685,3,2,0
TCK-000686,3,2,0
TCK-000687,3,2,0
TCK-000688,3,2,0
TCK-000689,3,2,0
TCK-000690,3,2,0
TCK-000691,3,2,0
TCK-000692,3,2,0
TCK-000693,3,2,0
TCK-000694,3,2,0
TCK-000695,3,2,0
TCK-000696,3,2,0
TCK-000697,3,2,0
TCK-000698,3,2,0
TCK-000699,3,2,0
TCK-000700,3,2,0
TCK-000701,3,2,0
TCK-000702,4,3,1
TCK-000703,3,2,0
TCK-000704,3,2,0
TCK-000705,3,2,0
TCK-000706,3,2,0
TCK-000707,3,2,0
TCK-000708,3,2,0
TCK-000709,3,2,0
TCK-000710,3,2,0
TCK-000711,3,2,0
TCK-000712,3,2,0
TCK-000713,3,2,0
TCK-000714,3,2,0
TCK-000715,3,2,0
TCK-000716,3,2,0
TCK-000717,3,2,0
TCK-000718,3,2,0
TCK-000719,3,2,0
TCK-000720,4,3,1
TCK-000721,3,2,0
TCK-000722,4,3,1
TCK-000723,4,3,1
TCK-000724,3,2,0
TCK-000725,3,2,0
TCK-000726,3,2,0
TCK-000727,3,2,0
TCK-000728,3,2,0
TCK-000729,3,2,0
TCK-000730,3,2,0
TCK-000731,3,2,0
TCK-000732,3,2,0
TCK-000733,4,3,1
TCK-000734,3,2,0
TCK-000735,4,3,1
TCK-000736,3,2,0
TCK-000737,3,2,0
TCK-000738,4,3,1
TCK-000739,3,2,0
TCK-000740,3,2,0
TCK-000741,3,2,0
TCK-000742,3,2,0
TCK-000743,3,2,0
TCK-000744,3,2,0
TCK-000745,3,2,0
TCK-000746,3,2,0
TCK-000747,3,2,0
TCK-000748,4,3,1
TCK-000749,3,2,0
TCK-000750,3,2,0
TCK-000751,3,2,0
TCK-000752,3,2,0
TCK-000753,3,2,0
TCK-000754,3,2,0
TCK-000755,3,2,0
TCK-000756,3,2,0
TCK-000757,3,2,0
TCK-000758,4,3,1
TCK-000759,3,2,0
TCK-000760,3,2,0
TCK-000761,3,2,0
TCK-000762,4,3,1
TCK-000763,3,2,0
TCK-000764,3,2,0
TCK-000765,4,3,1
TCK-000766,3,2,0
TCK-000767,3,2,0
TCK-000768,4,3,1
TCK-000769,3,2,0
TCK-000770,3,2,0
TCK-000771,3,2,0
TCK-000772,3,2,0
TCK-000773,3,2,0
TCK-000774,3,2,0
TCK-000775,3,2,0
TCK-000776,3,2,0
TCK-000777,3,2,0
TCK-000778,3,2,0
TCK-000779,3,2,0
TCK-000780,3,2,0
TCK-000781,3,2,0
TCK-000782,3,2,0
TCK-000783,3,2,0
TCK-000784,3,2,0
TCK-000785,4,3,1
TCK-000786,3,2,0
TCK-000787,3,2,0
TCK-000788,3,2,0
TCK-000789,3,2,0
TCK-000790,3,2,0
TCK-000791,3,2,0
TCK-000792,4,3,1
TCK-000793,3,2,0
TCK-000794,3,2,0
TCK-000795,3,2,0
TCK-000796,3,2,0
TCK-000797,3,2,0
TCK-000798,3,2,0
TCK-000799,3,2,0
TCK-000800,3,2,0
TCK-000801,3,2,0
TCK-000802,3,2,0
TCK-000803,3,2,0
TCK-000804,3,2,0
TCK-000805,3,2,0
TCK-000806,4,3,1
TCK-000807,3,2,0
TCK-000808,3,2,0
TCK-000809,3,2,0
TCK-000810,4,3,1
TCK-000811,3,2,0
TCK-000812,3,2,0
TCK-000813,3,2,0
TCK-000814,3,2,0
TCK-000815,3,2,0
TCK-000816,3,2,0
TCK-000817,4,3,1
TCK-000818,3,2,0
TCK-000819,3,2,0
TCK-000820,3,2,0
TCK-000821,3,2,0
TCK-000822,3,2,0
TCK-000823,3,2,0
TCK-000824,3,2,0
TCK-000825,3,2,0
TCK-000826,3,2,0
TCK-000827,3,2,0
TCK-000828,3,2,0
TCK-000829,3,2,0
TCK-000830,3,2,0
TCK-000831,3,2,0
TCK-000832,3,2,0
TCK-000833,3,2,0
TCK-000834,3,2,0
TCK-000835,3,2,0
TCK-000836,3,2,0
TCK-000837,3,2,0
TCK-000838,3,2,0
TCK-000839,3,2,0
TCK-000840,3,2,0
TCK-000841,3,2,0
TCK-000842,3,2,0
TCK-000843,3,2,0
TCK-000844,3,2,0
TCK-000845,3,2,0
TCK-000846,3,2,0
TCK-000847,3,2,0
TCK-000848,4,3,1
TCK-000849,3,2,0
TCK-000850,3,2,0
TCK-000851,3,2,0
TCK-000852,3,2,0
TCK-000853,3,2,0
TCK-000854,3,2,0
TCK-000855,3,2,0
TCK-000856,3,2,0
TCK-000857,3,2,0
TCK-000858,3,2,0
TCK-000859,3,2,0
TCK-000860,3,2,0
TCK-000861,4,3,1
TCK-000862,3,2,0
TCK-000863,3,2,0
TCK-000864,3,2,0
TCK-000865,3,2,0
TCK-000866,3,2,0
TCK-000867,3,2,0
TCK-000868,3,2,0
TCK-000869,3,2,0
TCK-000870,3,2,0
TCK-000871,4,3,1
TCK-000872,3,2,0
TCK-000873,4,3,1
TCK-000874,3,2,0
TCK-000875,3,2,0
TCK-000876,3,2,0
TCK-000877,3,2,0
TCK-000878,3,2,0
TCK-000879,3,2,0
TCK-000880,3,2,0
TCK-000881,3,2,0
TCK-000882,3,2,0
TCK-000883,4,3,1
TCK-000884,3,2,0
TCK-000885,3,2,0
TCK-000886,3,2,0
TCK-000887,3,2,0
TCK-000888,3,2,0
TCK-000889,3,2,0
TCK-000890,3,2,0
TCK-000891,3,2,0
TCK-000892,3,2,0
TCK-000893,3,2,0
TCK-000894,3,2,0
TCK-000895,3,2,0
TCK-000896,3,2,0
TCK-000897,3,2,0
TCK-000898,3,2,0
TCK-000899,3,2,0
TCK-000900,3,2,0
TCK-000901,3,2,0
TCK-000902,3,2,0
TCK-000903,3,2,0
TCK-000904,3,2,0
TCK-000905,3,2,0
TCK-000906,3,2,0
TCK-000907,3,2,0
TCK-000908,3,2,0
TCK-000909,3,2,0
TCK-000910,3,2,0
TCK-000911,3,2,0
TCK-000912,3,2,0
TCK-000913,3,2,0
TCK-000914,3,2,0
TCK-000915,3,2,0
TCK-000916,3,2,0
TCK-000917,3,2,0
TCK-000918,3,2,0
TCK-000919,3,2,0
TCK-000920,3,2,0
TCK-000921,4,3,1
TCK-000922,3,2,0
TCK-000923,3,2,0
TCK-000924,3,2,0
TCK-000925,3,2,0
TCK-000926,3,2,0
TCK-000927,3,2,0
TCK-000928,3,2,0
TCK-000929,3,2,0
TCK-000930,3,2,0
TCK-000931,3,2,0
TCK-000932,3,2,0
TCK-000933,3,2,0
TCK-000934,3,2,0
TCK-000935,3,2,0
TCK-000936,3,2,0
TCK-000937,3,2,0
TCK-000938,3,2,0
TCK-000939,3,2,0
TCK-000940,3,2,0
TCK-000941,3,2,0
TCK-000942,3,2,0
TCK-000943,3,2,0
TCK-000944,3,2,0
TCK-000945,3,2,0
TCK-000946,3,2,0
TCK-000947,3,2,0
TCK-000948,3,2,0
TCK-000949,3,2,0
TCK-000950,3,2,0
TCK-000951,3,2,0
TCK-000952,3,2,0
TCK-000953,3,2,0
TCK-000954,4,3,1
TCK-000955,3,2,0
TCK-000956,3,2,0
TCK-000957,3,2,0
TCK-000958,3,2,0
TCK-000959,3,2,0
TCK-000960,3,2,0
TCK-000961,3,2,0
TCK-000962,3,2,0
TCK-000963,3,2,0
TCK-000964,3,2,0
TCK-000965,4,3,1
TCK-000966,3,2,0
TCK-000967,3,2,0
TCK-000968,3,2,0
TCK-000969,3,2,0
TCK-000970,3,2,0
TCK-000971,3,2,0
TCK-000972,3,2,0
TCK-000973,3,2,0
TCK-000974,3,2,0
TCK-000975,3,2,0
TCK-000976,3,2,0
TCK-000977,3,2,0
TCK-000978,4,3,1
TCK-000979,3,2,0
TCK-000980,3,2,0
TCK-000981,3,2,0
TCK-000982,3,2,0
TCK-000983,3,2,0
TCK-000984,3,2,0
TCK-000985,3,2,0
TCK-000986,3,2,0
TCK-000987,3,2,0
TCK-000988,3,2,0
TCK-000989,3,2,0
TCK-000990,4,3,1
TCK-000991,3,2,0
TCK-000992,3,2,0
TCK-000993,3,2,0
TCK-000994,3,2,0
TCK-000995,3,2,0
TCK-000996,4,3,1
TCK-000997,3,2,0
TCK-000998,3,2,0
TCK-000999,3,2,0
TCK-001000,4,3,1
TCK-001001,3,2,0
TCK-001002,3,2,0
TCK-001003,3,2,0
TCK-001004,3,2,0
TCK-001005,3,2,0
TCK-001006,3,2,0
TCK-001007,3,2,0
TCK-001008,3,2,0
TCK-001009,3,2,0
TCK-001010,3,2,0
TCK-001011,3,2,0
TCK-001012,3,2,0
TCK-001013,3,2,0
TCK-001014,3,2,0
TCK-001015,3,2,0
TCK-001016,3,2,0
TCK-001017,4,3,1
TCK-001018,3,2,0
TCK-001019,3,2,0
TCK-001020,4,3,1
TCK-001021,3,2,0
TCK-001022,3,2,0
TCK-001023,3,2,0
TCK-001024,3,2,0
TCK-001025,3,2,0
TCK-001026,3,2,0
TCK-001027,3,2,0
TCK-001028,4,3,1
TCK-001029,3,2,0
TCK-001030,3,2,0
TCK-001031,3,2,0
TCK-001032,4,3,1
TCK-001033,3,2,0
TCK-001034,3,2,0
TCK-001035,3,2,0
TCK-001036,3,2,0
TCK-001037,3,2,0
TCK-001038,3,2,0
TCK-001039,3,2,0
TCK-001040,3,2,0
TCK-001041,3,2,0
TCK-001042,3,2,0
TCK-001043,3,2,0
TCK-001044,3,2,0
TCK-001045,4,3,1
TCK-001046,4,3,1
TCK-001047,3,2,0
TCK-001048,4,3,1
TCK-001049,3,2,0
TCK-001050,4,3,1
TCK-001051,3,2,0
TCK-001052,3,2,0
TCK-001053,3,2,0
TCK-001054,3,2,0
TCK-001055,3,2,0
TCK-001056,3,2,0
TCK-001057,3,2,0
TCK-001058,3,2,0
TCK-001059,3,2,0
TCK-001060,3,2,0
TCK-001061,3,2,0
TCK-001062,3,2,0
TCK-001063,3,2,0
TCK-001064,3,2,0
TCK-001065,3,2,0
TCK-001066,3,2,0
TCK-001067,3,2,0
TCK-001068,3,2,0
TCK-001069,3,2,0
TCK-001070,3,2,0
TCK-001071,3,2,0
TCK-001072,3,2,0
TCK-001073,3,2,0
