ticket_id,channel,product,category,priority,customer_tier,region,backlog_at_creation,first_response_minutes,reopened,created_hour,created_weekday,created_month,sla_breach,body_len,word_count,num_question,num_exclam,upper_ratio,urgency_hits,kw_refund,kw_cancel,kw_error,n_events,n_status_changes,reopened_from_log
TCK-000048,Formulário Web,Integrações,Solicitação de Recurso,Baixa,Basic,Sudeste,52,208.2,0,6,1,11,0,40,7,0,0,0.0303,0,0,0,0,3,2,0
TCK-000049,Chat,Plataforma Web,Dúvida / Como Fazer,Crítica,Basic,Norte,15,26.8,0,19,5,9,0,57,10,1,0,0.0213,0,0,0,0,3,2,0
TCK-000050,Email,API,Acesso e Conta,Média,Free,Nordeste,42,91.1,0,7,1,2,0,151,27,0,0,0.025,0,0,0,0,3,2,0
TCK-000051,Email,Relatórios,Solicitação de Recurso,Baixa,Free,Centro-Oeste,57,336.9,0,16,4,5,1,157,25,2,0,0.0231,0,0,0,0,3,2,0
TCK-000052,Email,Plataforma Web,Cancelamento,Baixa,Free,Norte,73,429.2,1,13,0,6,0,55,8,0,0,0.0217,1,0,1,0,4,3,1
TCK-000053,Chat,Relatórios,Solicitação de Recurso,Baixa,Enterprise,Sudeste,13,357.1,0,23,2,1,0,40,7,0,0,0.0303,0,0,0,0,3,2,0
TCK-000054,Email,Integrações,Acesso e Conta,Média,Free,Sudeste,54,166.3,0,1,0,4,0,64,12,0,0,0.0192,0,0,0,0,3,2,0
TCK-000055,Redes Sociais,Integrações,Cancelamento,Baixa,Free,Centro-Oeste,30,199.8,0,0,1,7,0,51,8,0,0,0.0233,1,0,0,1,3,2,0
TCK-000056,Email,Relatórios,Solicitação de Recurso,Baixa,Basic,Sul,10,425.4,0,4,4,8,0,40,7,0,0,0.0303,0,0,0,0,3,2,0
TCK-000057,Formulário Web,API,Bug / Defeito,Média,Free,Centro-Oeste,35,83.2,1,21,1,12,1,61,10,0,0,0.02,1,0,0,1,4,3,1
TCK-000058,Chat,API,Bug / Defeito,Alta,Enterprise,Centro-Oeste,37,41.2,0,6,2,8,1,95,16,0,0,0.039,1,0,0,1,3,2,0
TCK-000059,Telefone,Relatórios,Acesso e Conta,Crítica,Basic,Sul,109,72.9,0,17,6,8,1,88,15,0,0,0.0282,1,0,0,0,3,2,0
TCK-000060,Email,Plataforma Web,Acesso e Conta,Baixa,Premium,Sul,28,140.5,0,8,4,3,0,54,10,0,0,0.0233,0,0,0,0,3,2,0
TCK-000061,Telefone,Faturamento,Acesso e Conta,Média,Enterprise,Centro-Oeste,48,170.1,0,10,3,3,0,54,10,0,0,0.0233,0,0,0,0,3,2,0
TCK-000062,Chat,API,Acesso e Conta,Baixa,Free,Norte,19,327.4,0,4,0,9,0,64,9,0,0,0.037,1,0,0,0,3,2,0
TCK-000063,Formulário Web,Plataforma Web,Problema Técnico,Média,Basic,Sudeste,67,104.4,0,5,5,8,0,161,27,0,0,0.0227,2,0,0,1,3,2,0
TCK-000064,Formulário Web,Faturamento,Problema Técnico,Alta,Premium,Nordeste,18,43.0,0,18,5,9,1,101,19,0,1,0.025,1,0,0,0,3,2,0
TCK-000065,Redes Sociais,Plataforma Web,Bug / Defeito,Baixa,Free,Centro-Oeste,62,444.2,1,13,6,2,1,61,10,0,0,0.02,1,0,0,1,4,3,1
TCK-000066,Email,Relatórios,Bug / Defeito,Média,Basic,Sul,0,84.8,0,4,6,10,1,61,11,0,0,0.0408,0,0,0,1,3,2,0
TCK-000067,Email,App Mobile,Faturamento,Alta,Premium,Sul,29,56.6,0,19,1,4,0,133,23,0,0,0.0278,0,0,0,0,3,2,0
TCK-000068,Telefone,Faturamento,Bug / Defeito,Crítica,Free,Centro-Oeste,37,33.8,0,6,4,8,1,46,9,0,0,0.0303,2,0,0,1,3,2,0
TCK-000069,Telefone,App Mobile,Dúvida / Como Fazer,Crítica,Basic,Nordeste,53,42.0,0,19,3,9,0,53,9,0,0,0.0227,0,0,0,0,3,2,0
TCK-000070,Email,Faturamento,Problema Técnico,Média,Basic,Norte,43,120.0,0,22,0,2,0,55,10,0,0,0.0222,0,0,0,0,3,2,0
TCK-000071,Email,App Mobile,Acesso e Conta,Baixa,Free,Sudeste,63,284.2,0,15,6,9,0,54,10,0,0,0.0233,0,0,0,0,3,2,0
TCK-000072,Chat,Faturamento,Bug / Defeito,Média,Free,Sul,44,159.0,0,8,1,5,0,46,9,0,0,0.0303,2,0,0,1,3,2,0
TCK-000073,Redes Sociais,Plataforma Web,Cancelamento,Crítica,Premium,Sudeste,74,59.7,0,2,3,3,1,51,8,0,0,0.0233,1,0,0,1,3,2,0
TCK-000074,Email,Plataforma Web,Solicitação de Recurso,Alta,Free,Nordeste,28,41.2,0,0,2,2,1,55,8,0,0,0.0638,0,0,0,0,3,2,0
TCK-000075,Email,Integrações,Cancelamento,Crítica,Free,Sudeste,22,23.0,0,19,0,6,1,51,8,0,0,0.0233,1,0,0,1,3,2,0
TCK-000076,Chat,Plataforma Web,Dúvida / Como Fazer,Crítica,Enterprise,Norte,52,37.1,0,3,3,2,0,199,34,2,0,0.0248,0,0,0,0,3,2,0
TCK-000077,Formulário Web,Faturamento,Solicitação de Recurso,Média,Free,Sul,31,149.8,0,0,6,3,1,153,23,0,0,0.0547,0,0,0,0,3,2,0
TCK-000078,Telefone,Faturamento,Bug / Defeito,Alta,Free,Sul,14,34.2,1,14,4,1,1,61,10,0,0,0.02,1,0,0,1,4,3,1
TCK-000079,Chat,API,Faturamento,Alta,Basic,Nordeste,64,71.0,0,18,0,8,1,93,14,1,0,0.026,1,0,0,0,3,2,0
TCK-000080,Redes Sociais,Relatórios,Bug / Defeito,Média,Enterprise,Sul,23,99.6,0,6,3,8,1,61,10,0,0,0.02,1,0,0,1,3,2,0
TCK-000081,Chat,Integrações,Acesso e Conta,Baixa,Basic,Nordeste,23,244.2,0,9,5,4,0,64,12,0,0,0.0192,0,0,0,0,3,2,0
TCK-000082,Formulário Web,Faturamento,Acesso e Conta,Baixa,Free,Sudeste,79,625.9,0,12,0,11,0,64,12,0,0,0.0192,0,0,0,0,3,2,0
TCK-000083,Chat,Integrações,Problema Técnico,Baixa,Free,Norte,17,227.2,0,19,1,8,0,161,27,0,0,0.0227,2,0,0,1,3,2,0
TCK-000084,Email,API,Cancelamento,Baixa,Free,Sudeste,51,184.8,0,16,4,3,0,51,8,0,0,0.0233,1,0,0,1,3,2,0
TCK-000085,Redes Sociais,App Mobile,Faturamento,Alta,Free,Centro-Oeste,53,89.0,0,18,2,4,1,161,25,2,0,0.0227,0,0,0,0,3,2,0
TCK-000086,Chat,Faturamento,Faturamento,Média,Basic,Sudeste,48,91.6,0,18,0,10,0,59,9,1,0,0.0204,0,0,0,0,3,2,0
TCK-000087,Email,Integrações,Problema Técnico,Média,Free,Sudeste,21,181.1,0,2,2,11,1,56,11,0,0,0.0222,0,0,0,0,3,2,0
TCK-000088,Redes Sociais,Relatórios,Acesso e Conta,Crítica,Basic,Centro-Oeste,59,40.7,0,1,3,8,1,99,18,0,1,0.0256,1,0,0,0,3,2,0
TCK-000089,Chat,Plataforma Web,Problema Técnico,Alta,Basic,Nordeste,13,24.5,0,16,6,6,0,103,17,0,0,0.0238,1,0,0,1,3,2,0
TCK-000090,Chat,App Mobile,Bug / Defeito,Baixa,Premium,Centro-Oeste,52,310.8,1,5,2,9,0,46,9,0,0,0.0303,2,0,0,1,4,3,1
TCK-000091,Chat,API,Solicitação de Recurso,Baixa,Basic,Sudeste,51,247.1,0,17,6,8,0,153,23,0,0,0.0547,0,0,0,0,3,2,0
TCK-000092,Chat,App Mobile,Problema Técnico,Baixa,Enterprise,Sul,63,269.4,0,11,0,3,0,56,11,0,0,0.0222,0,0,0,0,3,2,0
TCK-000093,Email,Integrações,Cancelamento,Baixa,Premium,Sul,28,322.3,0,12,3,4,0,145,23,0,0,0.025,2,0,0,1,3,2,0
TCK-000094,Email,App Mobile,Faturamento,Média,Basic,Sul,36,217.1,0,19,3,10,0,167,29,0,0,0.0224,2,1,0,0,3,2,0
TCK-000095,Formulário Web,App Mobile,Solicitação de Recurso,Crítica,Free,Centro-Oeste,56,38.6,0,8,4,12,1,55,8,0,0,0.0638,0,0,0,0,3,2,0
TCK-000096,Telefone,Plataforma Web,Dúvida / Como Fazer,Média,Enterprise,Norte,63,81.3,0,0,1,11,0,57,10,1,0,0.0213,0,0,0,0,3,2,0
TCK-000097,Redes Sociais,App Mobile,Acesso e Conta,Baixa,Basic,Centro-Oeste,44,549.6,0,16,5,10,0,54,10,0,0,0.0233,0,0,0,0,3,2,0
TCK-000098,Chat,API,Cancelamento,Média,Premium,Norte,35,156.7,0,17,6,3,0,61,10,0,0,0.02,1,0,1,0,3,2,0
TCK-000099,Chat,App Mobile,Bug / Defeito,Média,Basic,Sul,18,97.8,0,2,0,7,0,46,9,0,0,0.0303,2,0,0,1,3,2,0
TCK-000100,Email,Faturamento,Bug / Defeito,Alta,Basic,Sul,56,79.6,0,21,1,9,1,61,11,0,0,0.0408,0,0,0,1,3,2,0
TCK-000101,Chat,Plataforma Web,Bug / Defeito,Média,Premium,Sudeste,0,30.2,0,8,0,7,0,61,10,0,0,0.02,1,0,0,1,3,2,0
TCK-000102,Email,App Mobile,Cancelamento,Baixa,Free,Centro-Oeste,65,324.2,0,14,1,9,0,51,8,0,0,0.0233,1,0,0,1,3,2,0
TCK-000103,Chat,App Mobile,Faturamento,Alta,Free,Sudeste,30,44.8,0,18,6,2,0,59,9,1,0,0.0204,0,0,0,0,3,2,0
TCK-000104,Chat,Faturamento,Problema Técnico,Baixa,Free,Nordeste,55,104.1,0,18,1,11,0,56,11,0,0,0.0222,0,0,0,0,3,2,0
TCK-000105,Chat,Faturamento,Solicitação de Recurso,Alta,Premium,Norte,41,105.8,0,22,3,7,1,74,12,0,0,0.0328,1,0,0,0,3,2,0
TCK-000106,Formulário Web,Plataforma Web,Solicitação de Recurso,Crítica,Enterprise,Nordeste,76,60.2,0,9,2,10,1,57,9,1,0,0.0208,0,0,0,0,3,2,0
TCK-000107,Email,Faturamento,Bug / Defeito,Alta,Premium,Norte,44,54.4,1,9,2,12,1,105,17,0,0,0.0235,1,0,0,1,4,3,1
TCK-000108,Formulário Web,Integrações,Bug / Defeito,Baixa,Premium,Nordeste,30,416.8,1,23,0,11,0,61,10,0,0,0.02,1,0,0,1,4,3,1
TCK-000109,Chat,App Mobile,Acesso e Conta,Média,Premium,Norte,5,116.0,0,23,4,7,0,64,9,0,0,0.037,1,0,0,0,3,2,0
TCK-000110,Email,API,Problema Técnico,Alta,Premium,Centro-Oeste,76,90.1,0,10,2,3,1,100,18,0,0,0.025,0,0,0,0,3,2,0
TCK-000111,Formulário Web,Integrações,Cancelamento,Média,Free,Nordeste,30,211.7,0,1,5,2,0,55,8,0,0,0.0217,1,0,1,0,3,2,0
TCK-000112,Formulário Web,Integrações,Solicitação de Recurso,Média,Basic,Norte,0,52.7,0,1,4,2,1,55,8,0,0,0.0638,0,0,0,0,3,2,0
TCK-000113,Chat,Faturamento,Problema Técnico,Baixa,Free,Centro-Oeste,17,164.4,0,1,0,11,0,55,10,0,0,0.0222,0,0,0,0,3,2,0
TCK-000114,Redes Sociais,API,Cancelamento,Alta,Enterprise,Nordeste,73,73.4,0,15,4,8,0,61,10,0,0,0.02,1,0,1,0,3,2,0
TCK-000115,Email,App Mobile,Solicitação de Recurso,Média,Premium,Sudeste,24,238.0,0,5,0,12,0,55,8,0,0,0.0638,0,0,0,0,3,2,0
TCK-000116,Email,API,Acesso e Conta,Média,Enterprise,Sudeste,42,421.9,0,13,4,7,0,64,12,0,0,0.0192,0,0,0,0,3,2,0
TCK-000117,Chat,Plataforma Web,Dúvida / Como Fazer,Média,Premium,Centro-Oeste,48,157.6,0,7,3,1,0,53,9,0,0,0.0227,0,0,0,0,3,2,0
TCK-000118,Email,App Mobile,Cancelamento,Crítica,Free,Nordeste,40,34.1,0,9,0,3,1,153,23,0,0,0.0238,2,0,1,0,3,2,0
TCK-000119,Telefone,API,Solicitação de Recurso,Média,Basic,Centro-Oeste,26,199.8,0,6,0,3,1,40,7,0,0,0.0303,0,0,0,0,3,2,0
TCK-000120,Email,Faturamento,Solicitação de Recurso,Baixa,Premium,Nordeste,40,593.0,0,10,1,8,1,55,8,0,0,0.0638,0,0,0,0,3,2,0
TCK-000121,Telefone,Integrações,Acesso e Conta,Média,Premium,Norte,30,88.2,0,18,6,1,0,64,9,0,0,0.037,1,0,0,0,3,2,0
TCK-000122,Chat,Integrações,Faturamento,Crítica,Basic,Sudeste,31,36.4,0,19,3,2,0,62,11,0,0,0.02,1,1,0,0,3,2,0
TCK-000123,Formulário Web,Integrações,Acesso e Conta,Baixa,Basic,Sudeste,49,303.9,0,15,3,3,0,64,9,0,0,0.037,1,0,0,0,3,2,0
TCK-000124,Formulário Web,API,Problema Técnico,Alta,Basic,Sul,56,89.4,0,13,2,10,1,56,11,0,0,0.0222,0,0,0,0,3,2,0
TCK-000125,Chat,Faturamento,Solicitação de Recurso,Crítica,Free,Sul,80,53.8,0,14,1,12,1,40,7,0,0,0.0303,0,0,0,0,3,2,0
TCK-000126,Email,API,Dúvida / Como Fazer,Média,Premium,Nordeste,3,71.0,0,23,4,6,0,57,10,1,0,0.0213,0,0,0,0,3,2,0
TCK-000127,Email,Relatórios,Dúvida / Como Fazer,Baixa,Free,Centro-Oeste,37,512.6,0,2,3,1,0,56,10,1,0,0.0217,0,0,0,0,3,2,0
TCK-000128,Chat,Faturamento,Acesso e Conta,Baixa,Enterprise,Norte,18,280.2,0,0,3,10,0,64,9,0,0,0.037,1,0,0,0,3,2,0
TCK-000129,Email,App Mobile,Acesso e Conta,Média,Premium,Centro-Oeste,55,114.8,0,9,1,4,0,64,9,0,0,0.037,1,0,0,0,3,2,0
TCK-000130,Email,Plataforma Web,Problema Técnico,Média,Basic,Sul,40,147.0,0,3,0,6,0,56,11,0,0,0.0222,0,0,0,0,3,2,0
TCK-000131,Email,Plataforma Web,Cancelamento,Crítica,Basic,Sul,40,46.1,1,10,1,12,0,61,10,0,0,0.02,1,0,1,0,4,3,1
TCK-000132,Chat,Relatórios,Problema Técnico,Crítica,Premium,Norte,14,14.1,0,19,1,9,1,55,10,0,0,0.0222,0,0,0,0,3,2,0
TCK-000133,Redes Sociais,Integrações,Cancelamento,Baixa,Premium,Norte,13,306.3,0,21,1,9,0,51,8,0,0,0.0233,1,0,0,1,3,2,0
TCK-000134,Redes Sociais,App Mobile,Faturamento,Alta,Basic,Sudeste,18,58.1,1,20,4,5,1,103,16,1,0,0.0238,0,0,0,0,4,3,1
TCK-000135,Telefone,App Mobile,Faturamento,Baixa,Free,Nordeste,33,152.8,0,7,6,10,0,62,11,0,0,0.02,1,1,0,0,3,2,0
TCK-000136,Chat,Faturamento,Acesso e Conta,Média,Free,Norte,56,142.4,0,9,5,11,0,64,12,0,0,0.0192,0,0,0,0,3,2,0
TCK-000137,Chat,Integrações,Cancelamento,Baixa,Basic,Norte,50,129.4,0,12,0,2,0,51,8,0,0,0.0233,1,0,0,1,3,2,0
TCK-000138,Email,Integrações,Cancelamento,Baixa,Basic,Centro-Oeste,37,138.1,0,13,2,9,0,61,10,0,0,0.02,1,0,1,0,3,2,0
TCK-000139,Email,Faturamento,Bug / Defeito,Média,Enterprise,Nordeste,43,166.0,0,4,2,5,0,46,9,0,0,0.0303,2,0,0,1,3,2,0
TCK-000140,Chat,App Mobile,Bug / Defeito,Média,Premium,Nordeste,65,151.3,0,15,4,6,0,135,25,0,0,0.03,4,0,0,1,3,2,0
TCK-000141,Redes Sociais,API,Faturamento,Alta,Premium,Nordeste,24,52.5,0,19,0,2,0,167,28,0,0,0.0294,1,0,0,0,3,2,0
TCK-000142,Email,Relatórios,Problema Técnico,Baixa,Free,Nordeste,35,283.0,0,18,2,12,0,153,27,0,0,0.0242,0,0,0,0,3,2,0
TCK-000143,Formulário Web,Plataforma Web,Faturamento,Média,Free,Sudeste,44,100.0,0,19,1,6,0,59,9,1,0,0.0204,0,0,0,0,3,2,0
TCK-000144,Email,Faturamento,Dúvida / Como Fazer,Baixa,Premium,Sudeste,11,316.8,0,0,1,10,0,53,9,0,0,0.0227,0,0,0,0,3,2,0
TCK-000145,Formulário Web,Relatórios,Bug / Defeito,Alta,Free,Centro-Oeste,15,35.9,0,5,6,9,1,80,14,0,0,0.0328,3,0,0,1,3,2,0
TCK-000146,Redes Sociais,Integrações,Problema Técnico,Crítica,Premium,Sul,45,82.7,0,4,4,12,1,55,10,0,0,0.0222,0,0,0,0,3,2,0
TCK-000147,Email,Integrações,Acesso e Conta,Média,Premium,Centro-Oeste,36,164.5,0,11,6,1,0,64,9,0,0,0.037,1,0,0,0,3,2,0
TCK-000148,Redes Sociais,Faturamento,Bug / Defeito,Baixa,Free,Centro-Oeste,40,206.5,0,20,4,4,0,135,25,0,0,0.03,4,0,0,1,3,2,0
TCK-000149,Email,API,Bug / Defeito,Baixa,Enterprise,Sudeste,45,173.6,1,17,0,8,0,61,10,0,0,0.02,1,0,0,1,4,3,1
TCK-000150,Chat,API,Acesso e Conta,Média,Basic,Nordeste,30,112.2,0,3,5,6,0,64,9,0,0,0.037,1,0,0,0,3,2,0
TCK-000151,Redes Sociais,App Mobile,Dúvida / Como Fazer,Média,Basic,Centro-Oeste,40,275.8,0,19,5,11,0,56,10,1,0,0.0217,0,0,0,0,3,2,0
TCK-000152,Formulário Web,Integrações,Dúvida / Como Fazer,Média,Premium,Sudeste,15,156.0,0,21,3,6,0,155,27,2,0,0.0238,0,0,0,0,3,2,0
TCK-000153,Telefone,App Mobile,Bug / Defeito,Baixa,Free,Nordeste,50,147.6,0,14,0,6,0,61,11,0,0,0.0408,0,0,0,1,3,2,0
TCK-000154,Email,Relatórios,Acesso e Conta,Alta,Free,Sudeste,42,68.8,0,6,4,4,0,64,12,0,0,0.0192,0,0,0,0,3,2,0
TCK-000155,Email,Faturamento,Cancelamento,Baixa,Basic,Nordeste,26,155.9,1,6,4,4,0,55,8,0,0,0.0217,1,0,1,0,4,3,1
TCK-000156,Chat,API,Cancelamento,Baixa,Free,Centro-Oeste,71,307.6,0,15,2,2,0,61,10,0,0,0.02,1,0,1,0,3,2,0
TCK-000157,Email,Plataforma Web,Problema Técnico,Baixa,Premium,Sudeste,38,177.9,1,12,6,12,0,161,27,0,0,0.0227,2,0,0,1,4,3,1
TCK-000158,Redes Sociais,API,Dúvida / Como Fazer,Média,Basic,Norte,54,146.7,0,22,3,12,0,57,10,1,0,0.0213,0,0,0,0,3,2,0
TCK-000159,Email,Relatórios,Bug / Defeito,Média,Free,Nordeste,56,89.3,0,6,2,10,1,61,11,0,0,0.0408,0,0,0,1,3,2,0
TCK-000160,Formulário Web,Plataforma Web,Dúvida / Como Fazer,Crítica,Free,Norte,0,8.5,0,6,1,5,0,100,17,1,0,0.0247,0,0,0,0,3,2,0
TCK-000161,Formulário Web,App Mobile,Dúvida / Como Fazer,Alta,Enterprise,Nordeste,51,75.1,0,8,1,9,0,57,10,1,0,0.0213,0,0,0,0,3,2,0
TCK-000162,Email,Plataforma Web,Faturamento,Baixa,Enterprise,Norte,23,261.0,0,19,6,11,0,167,29,0,0,0.0224,2,1,0,0,3,2,0
TCK-000163,Telefone,App Mobile,Dúvida / Como Fazer,Média,Free,Sul,72,81.6,0,13,1,3,0,53,9,0,0,0.0227,0,0,0,0,3,2,0
TCK-000164,Telefone,API,Acesso e Conta,Média,Basic,Sudeste,17,48.8,0,1,1,3,0,64,9,0,0,0.037,1,0,0,0,3,2,0
TCK-000165,Email,Plataforma Web,Dúvida / Como Fazer,Baixa,Basic,Sudeste,38,118.2,0,16,0,5,0,53,9,0,0,0.0227,0,0,0,0,3,2,0
