ticket_id,created_at,channel,product,category,priority,customer_tier,customer_id,agent_id,region,backlog_at_creation,first_response_minutes,resolution_minutes,reopened,csat_score,csat_missing,created_date,created_hour,created_weekday,created_month,sla_minutes,sla_breach
TCK-000064,2025-09-20 18:41:00,Formulário Web,Faturamento,Problema Técnico,Alta,Premium,CUST-01391,AGT-037,Nordeste,18,43.0,1242.3,0,3.0,0,2025-09-20,18,5,9,480,1
TCK-000065,2025-02-23 13:12:00,Redes Sociais,Plataforma Web,Bug / Defeito,Baixa,Free,CUST-02169,AGT-066,Centro-Oeste,62,444.2,3463.2,1,3.0,0,2025-02-23,13,6,2,2880,1
TCK-000066,2025-10-26 04:07:00,Email,Relatórios,Bug / Defeito,Média,Basic,CUST-00371,AGT-057,Sul,0,84.8,2105.6,0,,1,2025-10-26,4,6,10,1440,1
TCK-000067,2025-04-15 19:53:00,Email,App Mobile,Faturamento,Alta,Premium,CUST-01381,AGT-031,Sul,29,56.6,338.8,0,,1,2025-04-15,19,1,4,480,0
TCK-000068,2025-08-29 06:07:00,Telefone,Faturamento,Bug / Defeito,Crítica,Free,CUST-00788,AGT-046,Centro-Oeste,37,33.8,850.8,0,3.0,0,2025-08-29,6,4,8,240,1
TCK-000069,2025-09-18 19:04:00,Telefone,App Mobile,Dúvida / Como Fazer,Crítica,Basic,CUST-00939,AGT-066,Nordeste,53,42.0,173.8,0,,1,2025-09-18,19,3,9,240,0
TCK-000070,2025-02-17 22:08:00,Email,Faturamento,Problema Técnico,Média,Basic,CUST-00845,AGT-047,Norte,43,120.0,525.1,0,4.0,0,2025-02-17,22,0,2,1440,0
TCK-000071,2025-09-28 15:58:00,Email,App Mobile,Acesso e Conta,Baixa,Free,CUST-02377,AGT-063,Sudeste,63,284.2,593.1,0,5.0,0,2025-09-28,15,6,9,2880,0
TCK-000072,2025-05-13 08:02:00,Chat,Faturamento,Bug / Defeito,Média,Free,CUST-02502,AGT-043,Sul,44,159.0,1289.7,0,4.0,0,2025-05-13,8,1,5,1440,0
TCK-000073,2025-03-27 02:36:00,Redes Sociais,Plataforma Web,Cancelamento,Crítica,Premium,CUST-02591,AGT-053,Sudeste,74,59.7,343.2,0,4.0,0,2025-03-27,2,3,3,240,1
TCK-000074,2025-02-19 00:29:00,Email,Plataforma Web,Solicitação de Recurso,Alta,Free,CUST-01182,AGT-056,Nordeste,28,41.2,2119.4,0,5.0,0,2025-02-19,0,2,2,480,1
TCK-000075,2025-06-23 19:18:00,Email,Integrações,Cancelamento,Crítica,Free,CUST-00649,AGT-019,Sudeste,22,23.0,265.1,0,,1,2025-06-23,19,0,6,240,1
TCK-000076,2025-02-13 03:45:00,Chat,Plataforma Web,Dúvida / Como Fazer,Crítica,Enterprise,CUST-01777,AGT-051,Norte,52,37.1,158.1,0,,1,2025-02-13,3,3,2,240,0
TCK-000077,2025-03-23 00:21:00,Formulário Web,Faturamento,Solicitação de Recurso,Média,Free,CUST-00436,AGT-034,Sul,31,149.8,1695.1,0,3.0,0,2025-03-23,0,6,3,1440,1
TCK-000078,2025-01-10 14:48:00,Telefone,Faturamento,Bug / Defeito,Alta,Free,CUST-00890,AGT-012,Sul,14,34.2,2228.7,1,2.0,0,2025-01-10,14,4,1,480,1
TCK-000079,2025-08-25 18:24:00,Chat,API,Faturamento,Alta,Basic,CUST-01626,AGT-015,Nordeste,64,71.0,520.3,0,2.0,0,2025-08-25,18,0,8,480,1
TCK-000080,2025-08-14 06:17:00,Redes Sociais,Relatórios,Bug / Defeito,Média,Enterprise,CUST-01182,AGT-014,Sul,23,99.6,2643.9,0,,1,2025-08-14,6,3,8,1440,1
TCK-000081,2025-04-05 09:05:00,Chat,Integrações,Acesso e Conta,Baixa,Basic,CUST-00750,AGT-029,Nordeste,23,244.2,352.8,0,4.0,0,2025-04-05,9,5,4,2880,0
TCK-000082,2025-11-03 12:57:00,Formulário Web,Faturamento,Acesso e Conta,Baixa,Free,CUST-02023,AGT-012,Sudeste,79,625.9,1242.2,0,4.0,0,2025-11-03,12,0,11,2880,0
TCK-000083,2025-08-26 19:31:00,Chat,Integrações,Problema Técnico,Baixa,Free,CUST-00203,AGT-010,Norte,17,227.2,1741.9,0,4.0,0,2025-08-26,19,1,8,2880,0
TCK-000084,2025-03-14 16:42:00,Email,API,Cancelamento,Baixa,Free,CUST-01059,AGT-009,Sudeste,51,184.8,789.9,0,4.0,0,2025-03-14,16,4,3,2880,0
TCK-000085,2025-04-16 18:29:00,Redes Sociais,App Mobile,Faturamento,Alta,Free,CUST-01380,AGT-035,Centro-Oeste,53,89.0,1093.5,0,,1,2025-04-16,18,2,4,480,1
TCK-000086,2025-10-20 18:02:00,Chat,Faturamento,Faturamento,Média,Basic,CUST-00986,AGT-064,Sudeste,48,91.6,470.0,0,4.0,0,2025-10-20,18,0,10,1440,0
TCK-000087,2025-11-12 02:08:00,Email,Integrações,Problema Técnico,Média,Free,CUST-02518,AGT-027,Sudeste,21,181.1,1455.2,0,,1,2025-11-12,2,2,11,1440,1
TCK-000088,2025-08-14 01:30:00,Redes Sociais,Relatórios,Acesso e Conta,Crítica,Basic,CUST-02545,AGT-001,Centro-Oeste,59,40.7,267.5,0,3.0,0,2025-08-14,1,3,8,240,1
TCK-000089,2025-06-08 16:15:00,Chat,Plataforma Web,Problema Técnico,Alta,Basic,CUST-01747,AGT-012,Nordeste,13,24.5,368.0,0,,1,2025-06-08,16,6,6,480,0
TCK-000090,2025-09-24 05:41:00,Chat,App Mobile,Bug / Defeito,Baixa,Premium,CUST-01659,AGT-068,Centro-Oeste,52,310.8,1303.2,1,4.0,0,2025-09-24,5,2,9,2880,0
TCK-000091,2025-08-17 17:21:00,Chat,API,Solicitação de Recurso,Baixa,Basic,CUST-01507,AGT-012,Sudeste,51,247.1,1247.6,0,5.0,0,2025-08-17,17,6,8,2880,0
TCK-000092,2025-03-31 11:40:00,Chat,App Mobile,Problema Técnico,Baixa,Enterprise,CUST-01079,AGT-068,Sul,63,269.4,934.7,0,4.0,0,2025-03-31,11,0,3,2880,0
TCK-000093,2025-04-24 12:00:00,Email,Integrações,Cancelamento,Baixa,Premium,CUST-01011,AGT-004,Sul,28,322.3,638.2,0,,1,2025-04-24,12,3,4,2880,0
TCK-000094,2025-10-16 19:34:00,Email,App Mobile,Faturamento,Média,Basic,CUST-00751,AGT-022,Sul,36,217.1,473.7,0,,1,2025-10-16,19,3,10,1440,0
TCK-000095,2025-12-19 08:40:00,Formulário Web,App Mobile,Solicitação de Recurso,Crítica,Free,CUST-01009,AGT-038,Centro-Oeste,56,38.6,1387.1,0,2.0,0,2025-12-19,8,4,12,240,1
TCK-000096,2025-11-11 00:43:00,Telefone,Plataforma Web,Dúvida / Como Fazer,Média,Enterprise,CUST-00820,AGT-011,Norte,63,81.3,250.8,0,4.0,0,2025-11-11,0,1,11,1440,0
TCK-000097,2025-10-18 16:18:00,Redes Sociais,App Mobile,Acesso e Conta,Baixa,Basic,CUST-01716,AGT-044,Centro-Oeste,44,549.6,741.4,0,5.0,0,2025-10-18,16,5,10,2880,0
TCK-000098,2025-03-09 17:50:00,Chat,API,Cancelamento,Média,Premium,CUST-01603,AGT-023,Norte,35,156.7,367.8,0,4.0,0,2025-03-09,17,6,3,1440,0
TCK-000099,2025-07-07 02:21:00,Chat,App Mobile,Bug / Defeito,Média,Basic,CUST-00258,AGT-034,Sul,18,97.8,1057.9,0,,1,2025-07-07,2,0,7,1440,0
TCK-000100,2025-09-30 21:04:00,Email,Faturamento,Bug / Defeito,Alta,Basic,CUST-01871,AGT-045,Sul,56,79.6,1526.2,0,,1,2025-09-30,21,1,9,480,1
TCK-000101,2025-07-14 08:05:00,Chat,Plataforma Web,Bug / Defeito,Média,Premium,CUST-01274,AGT-032,Sudeste,0,30.2,687.6,0,5.0,0,2025-07-14,8,0,7,1440,0
TCK-000102,2025-09-23 14:13:00,Email,App Mobile,Cancelamento,Baixa,Free,CUST-00492,AGT-061,Centro-Oeste,65,324.2,867.8,0,4.0,0,2025-09-23,14,1,9,2880,0
TCK-000103,2025-02-09 18:55:00,Chat,App Mobile,Faturamento,Alta,Free,CUST-01512,AGT-052,Sudeste,30,44.8,440.1,0,4.0,0,2025-02-09,18,6,2,480,0
TCK-000104,2025-11-25 18:58:00,Chat,Faturamento,Problema Técnico,Baixa,Free,CUST-02237,AGT-026,Nordeste,55,104.1,658.6,0,,1,2025-11-25,18,1,11,2880,0
TCK-000105,2025-07-31 22:30:00,Chat,Faturamento,Solicitação de Recurso,Alta,Premium,CUST-01847,AGT-002,Norte,41,105.8,803.3,0,,1,2025-07-31,22,3,7,480,1
TCK-000106,2025-10-01 09:13:00,Formulário Web,Plataforma Web,Solicitação de Recurso,Crítica,Enterprise,CUST-00334,AGT-028,Nordeste,76,60.2,492.2,0,2.0,0,2025-10-01,9,2,10,240,1
TCK-000107,2025-12-24 09:10:00,Email,Faturamento,Bug / Defeito,Alta,Premium,CUST-00587,AGT-057,Norte,44,54.4,827.7,1,3.0,0,2025-12-24,9,2,12,480,1
TCK-000108,2025-11-03 23:41:00,Formulário Web,Integrações,Bug / Defeito,Baixa,Premium,CUST-01918,AGT-058,Nordeste,30,416.8,1868.8,1,,1,2025-11-03,23,0,11,2880,0
TCK-000109,2025-07-25 23:54:00,Chat,App Mobile,Acesso e Conta,Média,Premium,CUST-00450,AGT-014,Norte,5,116.0,249.4,0,5.0,0,2025-07-25,23,4,7,1440,0
TCK-000110,2025-03-05 10:05:00,Email,API,Problema Técnico,Alta,Premium,CUST-00341,AGT-014,Centro-Oeste,76,90.1,676.3,0,3.0,0,2025-03-05,10,2,3,480,1
TCK-000111,2025-02-01 01:03:00,Formulário Web,Integrações,Cancelamento,Média,Free,CUST-00665,AGT-003,Nordeste,30,211.7,361.8,0,5.0,0,2025-02-01,1,5,2,1440,0
TCK-000112,2025-02-28 01:02:00,Formulário Web,Integrações,Solicitação de Recurso,Média,Basic,CUST-00317,AGT-054,Norte,0,52.7,2106.2,0,,1,2025-02-28,1,4,2,1440,1
TCK-000113,2025-11-10 01:25:00,Chat,Faturamento,Problema Técnico,Baixa,Free,CUST-01313,AGT-041,Centro-Oeste,17,164.4,960.7,0,5.0,0,2025-11-10,1,0,11,2880,0
TCK-000114,2025-08-29 15:24:00,Redes Sociais,API,Cancelamento,Alta,Enterprise,CUST-00925,AGT-045,Nordeste,73,73.4,336.0,0,,1,2025-08-29,15,4,8,480,0
TCK-000115,2025-12-08 05:14:00,Email,App Mobile,Solicitação de Recurso,Média,Premium,CUST-00765,AGT-046,Sudeste,24,238.0,1415.0,0,4.0,0,2025-12-08,5,0,12,1440,0
TCK-000116,2025-07-11 13:02:00,Email,API,Acesso e Conta,Média,Enterprise,CUST-01401,AGT-018,Sudeste,42,421.9,522.9,0,4.0,0,2025-07-11,13,4,7,1440,0
TCK-000117,2025-01-23 07:38:00,Chat,Plataforma Web,Dúvida / Como Fazer,Média,Premium,CUST-00320,AGT-032,Centro-Oeste,48,157.6,282.5,0,,1,2025-01-23,7,3,1,1440,0
TCK-000118,2025-03-10 09:37:00,Email,App Mobile,Cancelamento,Crítica,Free,CUST-00347,AGT-007,Nordeste,40,34.1,339.0,0,,1,2025-03-10,9,0,3,240,1
TCK-000119,2025-03-03 06:26:00,Telefone,API,Solicitação de Recurso,Média,Basic,CUST-01832,AGT-024,Centro-Oeste,26,199.8,1838.7,0,3.0,0,2025-03-03,6,0,3,1440,1
TCK-000120,2025-08-26 10:17:00,Email,Faturamento,Solicitação de Recurso,Baixa,Premium,CUST-01176,AGT-048,Nordeste,40,593.0,5738.4,0,,1,2025-08-26,10,1,8,2880,1
TCK-000121,2025-01-19 18:42:00,Telefone,Integrações,Acesso e Conta,Média,Premium,CUST-01953,AGT-031,Norte,30,88.2,225.3,0,5.0,0,2025-01-19,18,6,1,1440,0
TCK-000122,2025-02-13 19:14:00,Chat,Integrações,Faturamento,Crítica,Basic,CUST-02596,AGT-051,Sudeste,31,36.4,156.0,0,5.0,0,2025-02-13,19,3,2,240,0
TCK-000123,2025-03-20 15:42:00,Formulário Web,Integrações,Acesso e Conta,Baixa,Basic,CUST-01844,AGT-003,Sudeste,49,303.9,513.2,0,4.0,0,2025-03-20,15,3,3,2880,0
TCK-000124,2025-10-22 13:20:00,Formulário Web,API,Problema Técnico,Alta,Basic,CUST-00936,AGT-069,Sul,56,89.4,847.7,0,,1,2025-10-22,13,2,10,480,1
TCK-000125,2025-12-09 14:49:00,Chat,Faturamento,Solicitação de Recurso,Crítica,Free,CUST-00585,AGT-021,Sul,80,53.8,1379.1,0,3.0,0,2025-12-09,14,1,12,240,1
TCK-000126,2025-06-06 23:36:00,Email,API,Dúvida / Como Fazer,Média,Premium,CUST-01372,AGT-009,Nordeste,3,71.0,152.1,0,4.0,0,2025-06-06,23,4,6,1440,0
TCK-000127,2025-01-09 02:45:00,Email,Relatórios,Dúvida / Como Fazer,Baixa,Free,CUST-02093,AGT-002,Centro-Oeste,37,512.6,814.4,0,,1,2025-01-09,2,3,1,2880,0
TCK-000128,2025-10-23 00:28:00,Chat,Faturamento,Acesso e Conta,Baixa,Enterprise,CUST-02333,AGT-014,Norte,18,280.2,533.6,0,3.0,0,2025-10-23,0,3,10,2880,0
TCK-000129,2025-04-01 09:31:00,Email,App Mobile,Acesso e Conta,Média,Premium,CUST-01414,AGT-045,Centro-Oeste,55,114.8,261.4,0,4.0,0,2025-04-01,9,1,4,1440,0
TCK-000130,2025-06-09 03:14:00,Email,Plataforma Web,Problema Técnico,Média,Basic,CUST-01475,AGT-064,Sul,40,147.0,991.7,0,,1,2025-06-09,3,0,6,1440,0
TCK-000131,2025-12-09 10:48:00,Email,Plataforma Web,Cancelamento,Crítica,Basic,CUST-00158,AGT-043,Sul,40,46.1,204.3,1,4.0,0,2025-12-09,10,1,12,240,0
TCK-000132,2025-09-23 19:12:00,Chat,Relatórios,Problema Técnico,Crítica,Premium,CUST-00980,AGT-016,Norte,14,14.1,247.2,0,,1,2025-09-23,19,1,9,240,1
TCK-000133,2025-09-02 21:11:00,Redes Sociais,Integrações,Cancelamento,Baixa,Premium,CUST-01172,AGT-007,Norte,13,306.3,465.2,0,,1,2025-09-02,21,1,9,2880,0
TCK-000134,2025-05-09 20:28:00,Redes Sociais,App Mobile,Faturamento,Alta,Basic,CUST-00493,AGT-008,Sudeste,18,58.1,578.2,1,3.0,0,2025-05-09,20,4,5,480,1
TCK-000135,2025-10-05 07:08:00,Telefone,App Mobile,Faturamento,Baixa,Free,CUST-00855,AGT-045,Nordeste,33,152.8,595.2,0,4.0,0,2025-10-05,7,6,10,2880,0
TCK-000136,2025-11-01 09:43:00,Chat,Faturamento,Acesso e Conta,Média,Free,CUST-00253,AGT-055,Norte,56,142.4,356.3,0,,1,2025-11-01,9,5,11,1440,0
